id,left,top,right,bottom,row_index,col_index,DTRF_6,LIDAR_6
464167,-75.150564416999998,39.949328545000000,-75.150554416999995,39.949318544999997,566,488,1,1
464168,-75.150564416999998,39.949318544999997,-75.150554416999995,39.949308544999994,567,488,1,1
465117,-75.150554416999995,39.949328545000000,-75.150544416999978,39.949318544999997,566,489,1,1
465118,-75.150554416999995,39.949318544999997,-75.150544416999978,39.949308544999994,567,489,1,1
466067,-75.150544416999978,39.949328545000000,-75.150534416999989,39.949318544999997,566,490,1,1
466068,-75.150544416999978,39.949318544999997,-75.150534416999989,39.949308544999994,567,490,1,1
471765,-75.150484417000001,39.949348544999999,-75.150474416999998,39.949338545000003,564,496,1,1
471766,-75.150484417000001,39.949338545000003,-75.150474416999998,39.949328544999993,565,496,1,1
471767,-75.150484417000001,39.949328545000000,-75.150474416999998,39.949318544999997,566,496,1,1
472714,-75.150474416999998,39.949358545000003,-75.150464416999995,39.949348544999999,563,497,1,1
472715,-75.150474416999998,39.949348544999999,-75.150464416999995,39.949338545000003,564,497,1,1
472716,-75.150474416999998,39.949338545000003,-75.150464416999995,39.949328544999993,565,497,1,1
472717,-75.150474416999998,39.949328545000000,-75.150464416999995,39.949318544999997,566,497,1,1
472718,-75.150474416999998,39.949318544999997,-75.150464416999995,39.949308544999994,567,497,1,1
473664,-75.150464416999995,39.949358545000003,-75.150454416999978,39.949348544999999,563,498,1,1
473665,-75.150464416999995,39.949348544999999,-75.150454416999978,39.949338545000003,564,498,1,1
473666,-75.150464416999995,39.949338545000003,-75.150454416999978,39.949328544999993,565,498,1,1
473667,-75.150464416999995,39.949328545000000,-75.150454416999978,39.949318544999997,566,498,1,1
473668,-75.150464416999995,39.949318544999997,-75.150454416999978,39.949308544999994,567,498,1,1
473669,-75.150464416999995,39.949308545000001,-75.150454416999978,39.949298544999998,568,498,1,1
474614,-75.150454416999978,39.949358545000003,-75.150444416999989,39.949348544999999,563,499,1,1
474615,-75.150454416999978,39.949348544999999,-75.150444416999989,39.949338545000003,564,499,1,1
474616,-75.150454416999978,39.949338545000003,-75.150444416999989,39.949328544999993,565,499,1,1
474617,-75.150454416999978,39.949328545000000,-75.150444416999989,39.949318544999997,566,499,1,1
474618,-75.150454416999978,39.949318544999997,-75.150444416999989,39.949308544999994,567,499,1,1
474619,-75.150454416999978,39.949308545000001,-75.150444416999989,39.949298544999998,568,499,1,1
475564,-75.150444417000003,39.949358545000003,-75.150434417000000,39.949348544999999,563,500,1,1
475565,-75.150444417000003,39.949348544999999,-75.150434417000000,39.949338545000003,564,500,1,1
475566,-75.150444417000003,39.949338545000003,-75.150434417000000,39.949328544999993,565,500,1,1
475567,-75.150444417000003,39.949328545000000,-75.150434417000000,39.949318544999997,566,500,1,1
475568,-75.150444417000003,39.949318544999997,-75.150434417000000,39.949308544999994,567,500,1,1
475569,-75.150444417000003,39.949308545000001,-75.150434417000000,39.949298544999998,568,500,1,1
476514,-75.150434417000000,39.949358545000003,-75.150424416999996,39.949348544999999,563,501,1,1
476515,-75.150434417000000,39.949348544999999,-75.150424416999996,39.949338545000003,564,501,1,1
476516,-75.150434417000000,39.949338545000003,-75.150424416999996,39.949328544999993,565,501,1,1
476517,-75.150434417000000,39.949328545000000,-75.150424416999996,39.949318544999997,566,501,1,1
476518,-75.150434417000000,39.949318544999997,-75.150424416999996,39.949308544999994,567,501,1,1
477464,-75.150424416999996,39.949358545000003,-75.150414416999993,39.949348544999999,563,502,1,1
477465,-75.150424416999996,39.949348544999999,-75.150414416999993,39.949338545000003,564,502,1,1
477466,-75.150424416999996,39.949338545000003,-75.150414416999993,39.949328544999993,565,502,1,1
477467,-75.150424416999996,39.949328545000000,-75.150414416999993,39.949318544999997,566,502,1,1
477468,-75.150424416999996,39.949318544999997,-75.150414416999993,39.949308544999994,567,502,1,1
478414,-75.150414416999993,39.949358545000003,-75.150404416999990,39.949348544999999,563,503,1,1
478415,-75.150414416999993,39.949348544999999,-75.150404416999990,39.949338545000003,564,503,1,1
478416,-75.150414416999993,39.949338545000003,-75.150404416999990,39.949328544999993,565,503,1,1
478417,-75.150414416999993,39.949328545000000,-75.150404416999990,39.949318544999997,566,503,1,1
478418,-75.150414416999993,39.949318544999997,-75.150404416999990,39.949308544999994,567,503,1,1
478419,-75.150414416999993,39.949308545000001,-75.150404416999990,39.949298544999998,568,503,1,1
479364,-75.150404417000004,39.949358545000003,-75.150394417000001,39.949348544999999,563,504,1,1
479365,-75.150404417000004,39.949348544999999,-75.150394417000001,39.949338545000003,564,504,1,1
479366,-75.150404417000004,39.949338545000003,-75.150394417000001,39.949328544999993,565,504,1,1
479367,-75.150404417000004,39.949328545000000,-75.150394417000001,39.949318544999997,566,504,1,1
479368,-75.150404417000004,39.949318544999997,-75.150394417000001,39.949308544999994,567,504,1,1
479369,-75.150404417000004,39.949308545000001,-75.150394417000001,39.949298544999998,568,504,1,1
479370,-75.150404417000004,39.949298544999998,-75.150394417000001,39.949288544999995,569,504,1,1
480314,-75.150394417000001,39.949358545000003,-75.150384416999998,39.949348544999999,563,505,1,1
480315,-75.150394417000001,39.949348544999999,-75.150384416999998,39.949338545000003,564,505,1,1
480316,-75.150394417000001,39.949338545000003,-75.150384416999998,39.949328544999993,565,505,1,1
480317,-75.150394417000001,39.949328545000000,-75.150384416999998,39.949318544999997,566,505,1,1
480318,-75.150394417000001,39.949318544999997,-75.150384416999998,39.949308544999994,567,505,1,1
480319,-75.150394417000001,39.949308545000001,-75.150384416999998,39.949298544999998,568,505,1,1
