                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.3168,                 1.7201,                0.90564,                 1.2217,                0.72923,                0.75827,                0.71981,                0.39936,                0.73799,                0.76572,                0.74315,                0.43355,                  1.616,                  1.804,                 1.1615,                 1.5322,              0.0019564,              0.0019564,              0.0019564
                     25,                 1.3115,                 1.6842,                0.90226,                 1.2419,                0.87269,                0.74757,                0.87727,                0.49326,                0.86765,                0.73786,                0.84426,                0.47495,                 1.5037,                 1.8772,                0.98456,                 1.4881,              0.0019545,              0.0019545,              0.0019545
                     26,                 1.3652,                 1.7469,                0.98191,                 1.2353,                0.86577,                0.75148,                0.88118,                0.52127,                0.88105,                0.71913,                0.84605,                0.46481,                 1.4664,                 1.6764,                0.99722,                 1.4462,              0.0019525,              0.0019525,              0.0019525
                     27,                 1.3072,                 1.7666,                0.93433,                 1.2148,                0.84401,                 0.7767,                0.86128,                0.52257,                0.83473,                0.76699,                0.83604,                0.50261,                 1.4007,                 1.6593,                 1.0261,                 1.4244,              0.0019505,              0.0019505,              0.0019505
                     28,                 1.2501,                 1.6545,                0.88322,                 1.2201,                0.82121,                0.72816,                 0.8563,                0.53135,                 0.8377,                0.70157,                0.82708,                0.48008,                 1.3937,                 1.8552,                 1.0652,                 1.4163,              0.0019485,              0.0019485,              0.0019485
                     29,                 1.2491,                 1.6961,                0.86507,                 1.1986,                0.81109,                0.73786,                0.83469,                 0.5126,                0.79936,                0.72816,                0.79058,                0.45808,                 1.4294,                 1.7903,                 1.1619,                 1.3993,              0.0019465,              0.0019465,              0.0019465
                     30,                 1.2591,                 1.6656,                0.86109,                 1.1939,                0.87484,                0.81432,                0.86449,                0.52019,                0.87352,                 0.8046,                0.83947,                0.46989,                 1.4381,                 1.6235,                 1.0286,                 1.4195,              0.0019446,              0.0019446,              0.0019446
                     31,                 1.2432,                  1.724,                0.85803,                 1.1867,                0.74997,                0.72806,                0.76094,                 0.4489,                0.80127,                0.70466,                0.79611,                0.43123,                 1.4714,                 1.6909,                 1.2148,                 1.3699,              0.0019426,              0.0019426,              0.0019426
                     32,                 1.2521,                 1.6388,                0.84517,                 1.2006,                0.76175,                0.82524,                0.83528,                0.50964,                0.82423,                0.71845,                0.80126,                0.47368,                 1.3888,                 1.7998,                0.96189,                 1.3416,              0.0019406,              0.0019406,              0.0019406
                     33,                 1.2197,                 1.6194,                0.85059,                 1.2027,                0.80367,                0.76699,                0.82706,                0.52487,                0.84123,                0.74757,                0.79487,                0.48116,                   1.31,                 1.6522,                 1.0005,                 1.3025,              0.0019386,              0.0019386,              0.0019386
                     34,                 1.2465,                 1.6793,                0.86714,                 1.1935,                 0.7981,                0.79612,                0.85626,                0.52979,                 0.7981,                0.79612,                0.83498,                0.50746,                  1.452,                 1.6528,                0.97516,                  1.333,              0.0019366,              0.0019366,              0.0019366
